Low 30 C,30,1,3,2,1,Slow down to Level 1 for 1 minute.
Low 30 C,30,1,4,1,4,Speed up to Level 4 for 3 minute.
Low 30 C,30,1,5,3,1,Slow down to Level 1 for 1 minute.
Low 30 C,30,1,6,1,2,Speed up to Level 2 for 7 minute.
Low 30 C,30,1,7,7,1,Slow down to Level 1 for 1 minute.
Low 30 C,30,1,8,1,3,Speed up to Level 3 for 1 minute.
Low 30 C,30,1,9,1,2,Slow down to Level 2 for 2 minute.
Low 30 C,30,1,10,2,1,Slow down to Level 1 for 1 minute.
Low 30 C,30,1,11,1,2,Speed up to Level 2 for 3 minute.
Low 30 C,30,1,12,3,1,Slow down to Level 1 for 1 minute.
Low 30 C,30,1,13,1,3,Speed up to Level 3 for 2 minute.
Low 30 C,30,1,14,2,1,Slow down to Level 1 for 2 minute.
Low 30 C,30,1,15,2,2,Speed up to Level 2 for 2 minute.
Low 30 C,30,1,16,2,1,Slow down to Level 1 for 5 minute.
Low 30 C,30,1,17,5,0,Good Job. Cool down now for 5 minutes
Low 40 A,40,1,1,5,0,Warm up slowly for five minutes. Nice and easy. Not even your Easy Run pace.
Low 40 A,40,1,2,1,2,Speed up to Level 2 for 1 minute.
Low 40 A,40,1,3,1,1,Slow down to Level 1 for 1 minute.
Low 40 A,40,1,4,1,3,Speed up to Level 3 for 1 minute.
Low 40 A,40,1,5,3,1,Slow down to Level 1 for 3 minute.
Low 40 A,40,1,6,1,2,Speed up to Level 2 for 1 minute.
Low 40 A,40,1,7,2,1,Slow down to Level 1 for 2 minute.
Low 40 A,40,1,8,1,4,Speed up to Level 4 for 1 minute.
Low 40 A,40,1,9,4,1,Slow down to Level 1 for 4 minute.
Low 40 A,40,1,10,1,2,Speed up to Level 2 for 1 minute.
Low 40 A,40,1,11,3,1,Slow down to Level 1 for 3 minute.
Low 40 A,40,1,12,1,2,Speed up to Level 2 for 1 minute.
Low 40 A,40,1,13,1,1,Slow down to Level 1 for 1 minute.
Low 40 A,40,1,14,1,2,Speed up to Level 2 for 1 minute.
Low 40 A,40,1,15,1,1,Slow down to Level 1 for 1 minute.
Low 40 A,40,1,16,1,3,Speed up to Level 3 for 1 minute.
Low 40 A,40,1,17,3,1,Slow down to Level 1 for 3 minute.
Low 40 A,40,1,18,1,2,Speed up to Level 2 for 1 minute.
Low 40 A,40,1,19,2,1,Slow down to Level 1 for 2 minute.
Low 40 A,40,1,20,1,4,Speed up to Level 4 for 1 minute.
Low 40 A,40,1,21,4,1,Slow down to Level 1 for 4 minute.
Low 40 A,40,1,22,1,2,Speed up to Level 2 for 1 minute.
Low 40 A,40,1,23,3,1,Slow down to Level 1 for 3 minute.
Low 40 A,40,1,24,1,2,Speed up to Level 2 for 1 minute.
Low 40 A,40,1,25,1,1,Slow down to Level 1 for 1 minute.
Low 40 A,40,1,26,5,0,Good Job. Cool down now for 5 minutes
Low 40 B,40,1,1,5,0,Warm up slowly for five minutes. Nice and easy. Not even your Easy Run pace.
Low 40 B,40,1,2,1,2,Speed up to Level 2 for 1 minute.
Low 40 B,40,1,3,1,1,Slow down to Level 1 for 1 minute.
Low 40 B,40,1,4,1,3,Speed up to Level 3 for 1 minute.
Low 40 B,40,1,5,6,1,Slow down to Level 1 for 6 minute.
Low 40 B,40,1,6,2,2,Speed up to Level 2 for 2 minute.
Low 40 B,40,1,7,3,1,Slow down to Level 1 for 3 minute.
Low 40 B,40,1,8,1,4,Speed up to Level 4 for 1 minute.
Low 40 B,40,1,9,3,1,Slow down to Level 1 for 3 minute.
Low 40 B,40,1,10,1,2,Speed up to Level 2 for 1 minute.
Low 40 B,40,1,11,1,1,Slow down to Level 1 for 1 minute.
Low 40 B,40,1,12,1,2,Speed up to Level 2 for 1 minute.
Low 40 B,40,1,13,1,1,Slow down to Level 1 for 1 minute.
Low 40 B,40,1,14,1,3,Speed up to Level 3 for 1 minute.
Low 40 B,40,1,15,6,1,Slow down to Level 1 for 6 minute.
Low 40 B,40,1,16,2,2,Speed up to Level 2 for 2 minute.
Low 40 B,40,1,17,3,1,Slow down to Level 1 for 3 minute.
Low 40 B,40,1,18,1,4,Speed up to Level 4 for 1 minute.
Low 40 B,40,1,19,3,1,Slow down to Level 1 for 3 minute.
Low 40 B,40,1,20,1,2,Speed up to Level 2 for 1 minute.
Low 40 B,40,1,21,1,1,Slow down to Level 1 for 1 minute.
Low 40 B,40,1,22,5,0,Good Job. Cool down now for 5 minutes
Low 40 C,40,1,1,5,0,Warm up slowly for five minutes. Nice and easy. Not even your Easy Run pace.
Low 40 C,40,1,2,1,2,Speed up to Level 2 for 1 minute.
Low 40 C,40,1,3,2,1,Slow down to Level 1 for 2 minute.
Low 40 C,40,1,4,1,4,Speed up to Level 4 for 1 minute.
Low 40 C,40,1,5,3,1,Slow down to Level 1 for 3 minute.
Low 40 C,40,1,6,1,2,Speed up to Level 2 for 1 minute.
Low 40 C,40,1,7,7,1,Slow down to Level 1 for 7 minute.
Low 40 C,40,1,8,1,3,Speed up to Level 3 for 1 minute.
Low 40 C,40,1,9,1,2,Slow down to Level 2 for 1 minute.
Low 40 C,40,1,10,2,1,Slow down to Level 1 for 2 minute.
Low 40 C,40,1,11,2,2,Speed up to Level 2 for 2 minute.
Low 40 C,40,1,12,2,1,Slow down to Level 1 for 2 minute.
Low 40 C,40,1,13,1,4,Speed up to Level 4 for 1 minute.
Low 40 C,40,1,14,3,1,Slow down to Level 1 for 3 minute.
Low 40 C,40,1,15,1,2,Speed up to Level 2 for 1 minute.
Low 40 C,40,1,16,7,1,Slow down to Level 1 for 7 minute.
Low 40 C,40,1,17,1,3,Speed up to Level 3 for 1 minute.
Low 40 C,40,1,18,1,2,Slow down to Level 2 for 1 minute.
Low 40 C,40,1,19,2,1,Slow down to Level 1 for 2 minute.
Low 40 C,40,1,20,1,2,Speed up to Level 2 for 1 minute.
Low 40 C,40,1,21,5,0,Good Job. Cool down now for 5 minutes
